id,link,direccion,titulo,descripcion,barrio,sub_barrio,precio,moneda,expensas,superficie,dormitorios,antiguedad,banos,fecha_scrape
10337481,argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--10337481,Migueletes 700,3 ambientes-Balcón terraza con parrilla. Totalmente amoblado,"Excelente semipiso de 3 ambientes con terraza y parrilla propia. Totalmente amoblado y equipado.
Broker cecilia +54 9 ********

hall de recepción
living y comedor con salida a terraza con parrilla propia al frente
dos dormitorios con placares de piso a techo y puertas espejadas.
Baño completo
toilette de recepción
cocina completa con ventilación natural.
Los pisos son de parquet en living y",Belgrano,Las Cañitas,1300,USD,,93.0,2,,1,2023-08-26 15:20:31.144011
14294854,argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--14294854,Av Quintana al 500,"Alquiler temporal, amoblado, 3 ambientes, Recoleta","Alquiler amoblado y equipado, en pleno recoleta!!!!!!!
Muy luminoso con orientación norte.&Nbsp;
vista unica a la iglesia del pilar y plaza francia!!!
2 dormitorios.&Nbsp;
baño completo con bañadera y toillete.&Nbsp;
cocina equipada con comedro diario.&Nbsp;
balcon corrido.&Nbsp;
zona unica, totalmente turistica, locales gastronómicos, mercados, medios de transportes.&Nbsp;",Barrio Norte,Recoleta,1200,USD,75000,68.0,2,40,1,2023-08-26 15:20:31.144011
14304267,argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--14304267,Bulnes 200,Departamento 3 ambientes tipo PH,"Departamento tipo ph de 3 ambientes en excelente estado. Muy luminoso.
Broker cecilia +54 9 ********

cómodo living comedor 
amplia cocina independiente con conexión para lavarropas.
Dos dormitorios.
Baño completo.
Los pisos son de parquet en living comedor y habitaciones y cerámica en cocina y baño.
La propiedad se encuentra en primer piso por escalera.

Transportes cercanos
colectivos:	5, 8, 19,",Almagro,,350000,$,22000,70.0,2,,1,2023-08-26 15:20:31.144011
14304269,argenprop.com/departamento-en-alquiler-en-palermo-chico-3-ambientes--14304269,Silvio Ruggieri  al 2900,"Alquiler amoblado, departamento, 3 amb,  piscina, Gym, Palermo Chico","Alquiler de 3 ambientes en torres las plazas. Amoblado
super categoria !!!!
Full amenities. Piscina, sum, 24 hs seguridad, gym, solarium, laundry.&Nbsp;


palermo chico, entre cerviño y av del libertador.&Nbsp;
alquiler mensual usd 1500 amoblado para 4 personas
disponible desde octubre



        
        
        
        

nota: la información",Palermo,Palermo Chico,1500,USD,75000,82.0,2,15,1,2023-08-26 15:20:31.144011
12849808,argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--12849808,Posadas 1500,Departamento en  Posadas 1500,"Excelente departamento en edificio de categoría. Contrafrente abierto y arbolado lleno de luz y sol. Hall, living comedor con balcón francés. Dos dormitorios, muy buenos placards. Walk in closet, baño, cocina con lavadero integrado. Cochera fija. Vigilancia las 24 horas.

Metros totales:&nbsp;70.00",Barrio Norte,Recoleta,700,USD,62450,,2,50,1,2023-08-26 15:20:31.144011
14176301,argenprop.com/departamento-en-alquiler-en-almagro-4-ambientes--14176301,Rivadavia 3900,4 ambientes con cochera a pasos del subte,"German vione servicios inmobiliarios le ofrece en alquiler un amplio departamento de 4 ambientes en excelente ubicacion.( A 4 pasos  del subte - estacion castro barros)
frente con balcón, 3 habitaciones con placard, amplia cocina separada, lavadero, calefaccion por piso radiante con caldera  individual 
baulera y cochera cubierta .
Edificio:
sum 
piscina 
gimnasio 
parrilla 
vigilancia las 24",Almagro,,450000,$,60000,103.0,3,15,2,2023-08-31 10:50:19.961215
12808346,argenprop.com/departamento-en-alquiler-en-las-canitas-1-ambiente--12808346,"Luis María Campos 1300, Piso 9",Divino monoambiente valor paquete,"Monoambiente de 41 m2 , recién reciclado a nuevo en las cañitas. Sobre av luis maría campos entre teodoro garcía y zabala.

A dos cuadras de libertador. Piso 9. Frente.
Luz todo el día.
Totalmente amoblado y equipado.

Edificio con piscina último piso. Seguridad 24 hs por totem . 

Valor paquete incluye expensas  ; flow y wifi.",Belgrano,Las Cañitas,600,USD,,39.0,,18,,2023-08-31 10:50:19.961215
14281041,argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--14281041,Av Alberdi al 2900 y San  Pedrito,J.B. Alberdi 2900  2 Ambientes 42 m2,"Departamento en venta 

2 ambientes a la calle a estrenar.
Sobre avenida j.B. Alberdi 2900 . 

Muy luminoso!
Todo luz y sol!
Balcón a la calle! 2 ambientes cocina y baño completo. 42 m2
sum! Parrilla! Solárium!
Amplia terraza de uso común!
Excelente ubicación!
Todos los medios de transporte!",Flores,,280000,$,12000,38.0,1,0,1,2023-08-31 10:50:19.961215
14281049,argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--14281049,Av Alberdi al 2900,J.B. Alberdi 2900  2 Ambientes 42 m2,"2 ambientes a la calle a estrenar.
Sobre avenida j.B. Alberdi 2800 . Muy luminoso!
Todo luz y sol!
Balcón a la calle! 2 ambientes cocina y baño completo. 42 m2
sum! Parrilla! Solárium!
Amplia terraza de uso común!
Excelente ubicación!
Todos los medios de transporte!
Ideal inversión.",Caballito,,280000,$,,38.0,1,0,1,2023-08-31 10:50:19.961215
14281036,argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--14281036,Av Alberdi al 2900 ALQUILER TEMPORAL RENOVABLE,J.B. Alberdi 2900  2 Ambientes 42 m2,"Departamento en venta 

2 ambientes a la calle a estrenar.
Sobre avenida j.B. Alberdi 2900 . 

Muy luminoso!
Todo luz y sol!
Balcón a la calle! 2 ambientes cocina y baño completo. 42 m2
sum! Parrilla! Solárium!
Amplia terraza de uso común!
Excelente ubicación!
Todos los medios de transporte!

Unidades desde u$s 83.000 a u$s 92.000
ideal inversión.
Consultar por posible financiamiento",Floresta,,280000,$,12000,38.0,1,0,1,2023-08-31 10:50:19.961215
14345367,argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--14345367,Julian Alvarez 2057 1000,"Departamento  en Alquiler en Palermo, Capital Federal, Buenos Aires","Departamento en palermo en alquiler anual o temporal amoblado

600 usd anual

700 usd temporal 

65 mts cuadrados / 3 ambientes (2 hab y living c on cocina separada)

solicitar ficha con fotos .

Forma de pago solo dolares billete

las descripciones arquitectónicas, valores de expensas, impuestos o servicios, fotos y medidas de las propiedades son aproximados. Los datos fueron proporcionados por",Palermo,,700,USD,25000,,2,0,1,2023-08-31 10:50:19.961215
14345368,argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--14345368,Julian Alvarez 2057 1000,"Departamento  en Alquiler en Palermo, Capital Federal, Buenos Aires","Departamento en palermo en alquiler anual o temporal amoblado

hermoso departamento amoblado en alquiler anual o temporal . Pago solo en dolares billete o transferencia bancaria en dolares . 
El deptartamento se encuentra totalmente amoblado con una cama de dos plazas en una habitacion y una simple en la otra con la posibilidad de agregar una cama simple mas. 
Tiene un hermoso balcon con una linda",Palermo,,700,USD,20000,,2,0,1,2023-08-31 10:50:19.961215
14354335,argenprop.com/departamento-en-alquiler-en-palermo-soho-3-ambientes--14354335,Guatemala 4500,Palermo - Divino 3 Ambientes con cochera en Torre Full Amenities!,"Alquiler  en palermo soho
torre esmeralda - guatemala y malabia

****** consulte por whatsapp  ********  *******

precio mensual: u$s1.300.-  Mas gastos (expensas, servicios, abl) 
se alquila por 1/2/3 años  -  - con cochera fija 
disponible a partir del 1/12/2023
se entrega recien pintado !!!!
Requisitos: garantia caba, empresa, embajada y demostración de ingresos
está ubicado en el barrio de",Palermo,Palermo Soho,1300,USD,,85.0,2,,2,2023-08-31 10:50:19.961215
14316459,argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-2-ambientes--14316459,MONROE 2000,ALQUILER  2 AMB.  FRENTE /COCHERA  BELGRANO,"Alquilo coqueto depto 2 amb. Al frente con cochera belgrano, excelente ubicaciòn a mts de av cabildo. Vs lineas de trasnporte, zona comercial, bancaria.
La propiedad cuenta con living -comedor con piso de parquet, cocina con anafe, calefon, amoblamiento de madera  impecable estado, hall distribuidor, baño completo con manpara, dormitorio amplio c/placard y espacio de guardado, amplio balcón",Belgrano,Belgrano Barrancas,290000,$,,40.0,1,33,1,2023-08-31 10:50:19.961215
